"AccID","Sampling date","Lineage","Variant"
"EPI_ISL_644671","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_644672","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718287","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718288","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718289","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718290","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718291","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718292","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718293","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718294","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718295","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718296","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718297","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718298","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718299","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718300","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718301","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718302","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718303","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718304","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718305","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_718306","2020-09-01","B.1.524","B.1.524"
"EPI_ISL_728157","2020-09-28","B.1.524","B.1.524"
"EPI_ISL_718312","2020-09-29","B.1.524","B.1.524"
"EPI_ISL_718313","2020-09-29","B.1.524","B.1.524"
"EPI_ISL_728162","2020-09-29","B.1.524","B.1.524"
"EPI_ISL_728163","2020-09-29","B.1.524","B.1.524"
"EPI_ISL_728161","2020-09-30","B.1.524","B.1.524"
"EPI_ISL_718214","2020-10-01","B.1.524","B.1.524"
"EPI_ISL_718215","2020-10-01","B.1.524","B.1.524"
"EPI_ISL_728160","2020-10-02","B.1.524","B.1.524"
"EPI_ISL_728164","2020-10-02","B.1.524","B.1.524"
"EPI_ISL_2769381","2020-10-03","B.1.524","B.1.524"
"EPI_ISL_2769382","2020-10-05","B.1.524","B.1.524"
"EPI_ISL_2009193","2020-10-05","B.1.524","B.1.524"
"EPI_ISL_7972361","2020-10-05","B.1.524","B.1.524"
"EPI_ISL_728166","2020-10-07","B.1.524","B.1.524"
"EPI_ISL_936496","2020-10-07","B.1.524","B.1.524"
"EPI_ISL_977585","2020-10-07","B.1.524","B.1.524"
"EPI_ISL_718210","2020-10-08","B.1.524","B.1.524"
"EPI_ISL_718219","2020-10-08","B.1.524","B.1.524"
"EPI_ISL_718311","2020-10-08","B.1.524","B.1.524"
"EPI_ISL_2009232","2020-10-09","B.1.524","B.1.524"
"EPI_ISL_2009233","2020-10-09","B.1.524","B.1.524"
"EPI_ISL_861717","2020-10-12","B.1.524","B.1.524"
"EPI_ISL_861729","2020-10-12","B.1.524","B.1.524"
"EPI_ISL_2009234","2020-10-12","B.1.524","B.1.524"
"EPI_ISL_2009305","2020-10-12","B.1.524","B.1.524"
"EPI_ISL_2009529","2020-10-12","B.1.524","B.1.524"
"EPI_ISL_2009530","2020-10-12","B.1.524","B.1.524"
"EPI_ISL_2009595","2020-10-12","B.1.524","B.1.524"
"EPI_ISL_2769383","2020-10-14","B.1.524","B.1.524"
"EPI_ISL_8147365","2020-10-14","B.1.524","B.1.524"
"EPI_ISL_2769384","2020-10-16","B.1.524","B.1.524"
"EPI_ISL_8147391","2020-10-16","B.1.524","B.1.524"
"EPI_ISL_8147392","2020-10-16","B.1.524","B.1.524"
"EPI_ISL_2769386","2020-10-18","B.1.524","B.1.524"
